"Data","Preco_Previsto","IC_Inferior","IC_Superior"
2026-01-01,61.6657139006115,61.6657139006115,61.6657139006115
2026-02-01,61.6380007706712,58.0583975282681,65.4866699599301
2026-03-01,61.6260234204888,56.5731232849702,67.2408685602668
2026-04-01,61.57038572619,55.3007531505959,68.3049958711773
2026-05-01,61.5774052034797,54.3396404744286,69.2896608736119
2026-06-01,61.5862582368832,53.6415792465388,70.3401449410969
2026-07-01,61.5794307338706,52.8481464388228,71.1752605176112
2026-08-01,61.5528460031148,52.3756457854466,71.9889901347666
2026-09-01,61.5411030993639,51.6090842976649,72.657625550291
2026-10-01,61.5402122302648,51.1524468158717,73.5179206219348
2026-11-01,61.564997440993,50.6158550477027,74.4613638667594
2026-12-01,61.5655161109832,50.0654632902873,75.1344365216303
2027-01-01,61.5744897808009,49.6164251582442,75.6394647644823
2027-02-01,61.5691373402073,49.3233533964183,76.1829632237694
2027-03-01,61.5706155122403,48.9349099565574,76.7622169910755
2027-04-01,61.5626849828607,48.4249184925264,77.3458012645705
2027-05-01,61.5425267897756,48.051699449247,77.8066931111172
2027-06-01,61.5448199386699,47.7852034200817,78.3912699314801
2027-07-01,61.5401142767997,47.5587563227871,79.1023387730028
2027-08-01,61.5485650832076,47.1721149926733,79.4888201932082
2027-09-01,61.5120317661141,46.60037520165,80.0609298664782
2027-10-01,61.5112676422988,46.535379155992,80.2271893571836
2027-11-01,61.5017617334453,45.860280197506,81.0404045495446
2027-12-01,61.5037598840074,45.6659809536858,81.5664277089036
2028-01-01,61.4865075569284,45.2898738711484,81.9774875402138
2028-02-01,61.4976980552196,44.9263723046429,82.7185121214292
2028-03-01,61.4982008912776,44.6295720622274,83.063726286212
2028-04-01,61.4848639816422,44.3586429378423,83.4248073207998
2028-05-01,61.4687779324909,43.9402728686078,83.5200569241791
2028-06-01,61.4535998448513,43.6657691014909,83.9010305056744
2028-07-01,61.4603824603517,43.3711950374205,84.325681299648
2028-08-01,61.4576518031922,43.2442257901883,84.8818827510124
2028-09-01,61.4561851316671,42.9898966298377,85.4112933441182
2028-10-01,61.4583940506509,42.7116863534742,85.4513734373306
2028-11-01,61.4553958943196,42.636033432631,85.813738745799
2028-12-01,61.4305264008803,42.2861086097619,86.0318802443764
2029-01-01,61.416646297708,42.0902970304408,86.6888003048307
2029-02-01,61.4234478709392,41.8143133098339,87.3255224902894
2029-03-01,61.4407192066918,41.4420138404309,87.518822888657
2029-04-01,61.4365433083349,41.3275944654172,87.7986088820321
2029-05-01,61.4135135452171,41.1509768124358,88.2544677569395
2029-06-01,61.4095148312836,41.1122431193226,88.7333576426901
2029-07-01,61.4118901017633,40.8284127311502,89.0626255148468
2029-08-01,61.4009053526401,40.4576298950186,89.4945090161233
2029-09-01,61.400074004642,40.2205856898841,89.8792492292593
2029-10-01,61.3789902984545,40.1900790848804,90.0602439597209
2029-11-01,61.3432409849421,40.0245971121688,90.6235881418856
2029-12-01,61.3354152587386,39.7544915141421,90.9929412682262
2030-01-01,61.3212780618569,39.6559627842794,91.1925666076465
2030-02-01,61.3255728679432,39.3373811700252,92.1937390286368
2030-03-01,61.3399990875799,39.1708344938662,92.279396906169
2030-04-01,61.3689354015162,39.1367537208965,93.1865112547252
2030-05-01,61.3475870229997,38.864241962491,93.540285989549
2030-06-01,61.3353322975483,38.521763285282,93.310141316167
2030-07-01,61.3064752967248,38.4900039703221,93.3341815746326
2030-08-01,61.2946707047885,38.26316563162,93.5492753787876
2030-09-01,61.279507665332,38.2162114544568,94.0872540646123
2030-10-01,61.3050379151018,38.108803491061,94.0182083178108
2030-11-01,61.3060402910239,37.8247833607228,94.9151659511724
2030-12-01,61.2712277053191,37.7152723887114,94.8466220316913
2031-01-01,61.2466605300635,37.6784837600395,95.7340140505763
2031-02-01,61.2564944382687,37.4797800360392,95.2847407660357
2031-03-01,61.2596973045716,37.2643948557159,95.5691774764785
2031-04-01,61.2806219340268,37.0162754563876,96.0806615574634
2031-05-01,61.2940320098695,36.8450365952601,96.519335586015
2031-06-01,61.3236125796275,36.8261424022402,96.5753318128821
2031-07-01,61.3363596606755,36.6159709878196,97.1377598193039
2031-08-01,61.3279686026763,36.422353042744,97.7099605264799
2031-09-01,61.3416315987032,36.3661218945585,98.0391652834573
2031-10-01,61.298694949962,36.1794253691117,97.512522446423
2031-11-01,61.3249711761863,36.0166559349791,97.6401385489468
2031-12-01,61.348263642759,35.9612439773555,98.361201595306
2032-01-01,61.3209479297248,35.7097532292371,98.4602705400404
2032-02-01,61.2914246964853,35.3502324434598,99.2570160401494
2032-03-01,61.2516594109116,35.3436672591318,99.0197065324279
2032-04-01,61.2577470791798,35.2426166008385,99.9057381358278
2032-05-01,61.2525448149335,35.006463235003,99.8172339930155
2032-06-01,61.2465197294822,34.962814049285,100.804461731026
2032-07-01,61.2566987731711,34.9573848957609,100.800746620084
2032-08-01,61.2656038658643,34.8713904355548,101.392837226439
2032-09-01,61.2388866187179,34.6104075371036,102.191897298303
2032-10-01,61.2538059819059,34.3657377434703,102.063894683939
2032-11-01,61.2266155027327,34.2001231900359,102.280808838028
2032-12-01,61.2143030754202,34.1122677040017,102.700286850545
2033-01-01,61.2169525606597,33.940327629035,102.837832660897
2033-02-01,61.2039673147268,33.9125982911136,102.861330826982
2033-03-01,61.2235050110244,33.840609164378,103.673819111434
2033-04-01,61.1859095297054,33.5031480924911,103.97384129931
2033-05-01,61.2093098312495,33.5118513022014,104.339511114998
2033-06-01,61.2328750036843,33.3308126349747,104.036803947398
