"","Preco_Brent","Indice_GPR","Dolar_Index","Crescimento_PIB_Global","Producao_Global","Demanda_Global","Indice_Renovaveis"
"Preco_Brent",1,0.102716423982078,-0.487144018686403,0.129449862861898,-0.250157425075018,-0.245869073179072,-0.232399218265553
"Indice_GPR",0.102716423982078,1,-0.0897188210220018,0.0936145630787947,-0.0485259271825782,-0.0511260962255803,-0.0545996351229535
"Dolar_Index",-0.487144018686403,-0.0897188210220018,1,-0.018309339425911,-0.070774732224312,-0.0736584661907457,-0.0801313483254596
"Crescimento_PIB_Global",0.129449862861898,0.0936145630787947,-0.018309339425911,1,0.149938876915677,0.146256633008244,0.152532728143846
"Producao_Global",-0.250157425075018,-0.0485259271825782,-0.070774732224312,0.149938876915677,1,0.999202331488346,0.993356020213968
"Demanda_Global",-0.245869073179072,-0.0511260962255803,-0.0736584661907457,0.146256633008244,0.999202331488346,1,0.99288284530601
"Indice_Renovaveis",-0.232399218265553,-0.0545996351229535,-0.0801313483254596,0.152532728143846,0.993356020213968,0.99288284530601,1
